"Pre Order Analytics","Pre Order Analytics"
Guest,Guest
Banner,Banner
"Pre-order Bestsellers","Pre-order Bestsellers"
From,From
To,To
"Last Pre-Orders","Last Pre-Orders"
"View All","View All"
"Amasty Pre Order","Amasty Pre Order"
"Analytics Page","Analytics Page"
"Pending Orders Statuses","Pending Orders Statuses"
"Revenue Orders Statuses","Revenue Orders Statuses"
Name,Name
Qty,Qty
Revenue,Revenue
Order,Order
Customer,Customer
Status,Status
Date,Date
"Pre-order Items","Pre-order Items"
"Pre-order Revenue","Pre-order Revenue"
