"My Cart","Your tray"
"Search entire store here...","What are you looking for?"
"Add to Cart","Add to Tray"
"Items in Cart","items in tray"
"Item in Cart","item in tray"
"Cart Subtotal","Subtotal"
"View and Edit Cart","View Tray"
"Qty","Quantity"
"Review & Payments","Payments"
"Ship Here","Deliver To This Address"
"Estimated Total","Order Total"
"Order Summary","Your tray"
"Date of Birth","Birthday"
"Telephone", "Phone"
"Add All to Cart","Add all Products to Tray"
"See Details","See detail"
"Shipping & Handling","Delivery Fee", module, magento_sales
"Grand Total","Order Total", module, magento_sales
"Delivery Time Interval","Select Time"
"Delivery Comments","Message"
